Response_ID,Progress,duration,participant_gender_category,participant_gender_category_other,participant_age,participant_language,participant_language_other,participant_education,participant_gender_scale,participant_political_scale,participant_optimism_scale,participant_location_scale,Device,survey_version,timing_gender,timing_valence,timing_political,timing_location,timing_age,version,participant_sample
R_2xzAAOpUPfAfzsP,100,2693,female,NA,21,Czech,NA,university,3,0,1,0,not_mobile,PRIMUS_multipic_words01,288.348,298.199,574.197,372.922,616.842,cz_words,university
R_1msdRgK71EEFvkJ,100,1497,female,NA,20,Czech,NA,high school,2,1,1,2,not_mobile,PRIMUS_multipic_words01,215.155,224.74,239.797,304.627,340.736,cz_words,university
R_1IxSdM19cuJhwGw,100,2014,female,NA,23,Czech,NA,high school,2,0,-1,1,not_mobile,PRIMUS_multipic_words01,187.46,269.666,258.097,252.858,420.242,cz_words,university
R_YPqYDhTkMsXxnZT,100,1371,female,NA,25,Czech,NA,university,1,0,-1,-2,mobile,PRIMUS_multipic_words01,228.178,214.633,305.065,200.219,285.642,cz_words,university
R_WATJ1MkzJiDiZ8Z,100,2123,female,NA,21,Czech,NA,high school,2,-2,1,0,not_mobile,PRIMUS_multipic_words01,289.235,331.788,423.49,354.967,502.186,cz_words,university
R_22qRAhEOAbl1GSU,93,1806,male,NA,20,Czech,NA,high school,-2,-2,1,2,not_mobile,PRIMUS_multipic_words01,421.314,240.32,336.141,271.974,350.014,cz_words,university
R_e98qHMQmCIL29ix,100,3618,female,NA,20,Czech,NA,high school,2,-1,-1,-1,not_mobile,PRIMUS_multipic_words01,546.514,450.885,954.65,420.314,542.106,cz_words,university
R_efI8YaC4aMt5moN,100,7425,female,NA,23,Czech,NA,university,3,0,1,0,mobile,PRIMUS_multipic_words01,410.352,776.424,937.568,1011.599,1101.086,cz_words,university
R_3QRzPkHmsNp9Te1,100,2595,female,NA,19,Czech,NA,high school,1,-1,1,-2,mobile,PRIMUS_multipic_words01,354.597,324.35,673.564,372.62,490.218,cz_words,university
R_2Tw5Lkoeo0UqkNn,100,1510,female,NA,21,Czech,NA,high school,3,0,1,-2,mobile,PRIMUS_multipic_words01,294.693,218.799,280.16,261.571,347.699,cz_words,university
R_3D73568cRVZDGsV,100,5010,female,NA,29,Czech,NA,high school,1,0,1,0,mobile,PRIMUS_multipic_words01,611.46,822.108,683.135,605.881,1203.001,cz_words,university
R_27lkn6N5Q5phEGg,100,1837,female,NA,22,Czech,NA,high school,0,-2,0,1,not_mobile,PRIMUS_multipic_words02,270.525,331.033,300.04,296.834,337.639,cz_words,university
R_2dg5kPsIY4WYS1Y,100,2413,female,NA,21,Czech,NA,high school,2,-1,-1,-2,mobile,PRIMUS_multipic_words02,257.002,265.221,293.044,347.321,418.891,cz_words,university
R_1CkHyRipea8IDGj,100,3939,female,NA,24,Czech,NA,high school,2,1,1,1,mobile,PRIMUS_multipic_words02,400.916,739.15,694.856,702.001,560.496,cz_words,university
R_6mWLcLSbshSLVKN,100,3111,female,NA,21,Czech,NA,university,2,-2,1,1,not_mobile,PRIMUS_multipic_words02,385.374,439.461,392.931,465.461,493.833,cz_words,university
R_1hFKu543W4Sp3Tk,100,2354,female,NA,22,Czech,NA,high school,3,-1,2,-1,mobile,PRIMUS_multipic_words02,271.141,289.042,310.701,336.387,679.362,cz_words,university
R_29phsSje1agm7uR,100,1063,male,NA,21,Czech,NA,high school,-2,0,-1,2,mobile,PRIMUS_multipic_words02,224.78,140.354,162.566,245.324,172.221,cz_words,university
R_2dQPSKcj5wtIuzd,100,6291,female,NA,22,Czech,NA,high school,2,1,1,-1,mobile,PRIMUS_multipic_words02,315.432,827.265,409.552,673.892,1013.723,cz_words,university
R_26hhzgGgQU1kB2P,100,3861,male,NA,25,Czech,NA,university,-2,-1,-1,-2,mobile,PRIMUS_multipic_words02,717.161,634.212,688.173,1287.664,337.073,cz_words,university
R_1CvIytAQeJhR4Ie,100,1587,female,NA,20,Czech,NA,high school,1,-1,1,3,mobile,PRIMUS_multipic_words02,292.246,241.377,303.484,272.592,380.042,cz_words,university
R_uagS1mbyXK7OLg5,100,2199,female,NA,21,Czech,NA,high school,3,-1,2,-1,not_mobile,PRIMUS_multipic_words02,138.8,191.72,394.754,220.3,182.685,cz_words,university
R_2z6oXPvp9oH53R5,100,15790,female,NA,21,Czech,NA,high school,1,-1,1,1,not_mobile,PRIMUS_multipic_words02,176.104,188,202.334,183.902,290.073,cz_words,university
R_xFRxghpiWGC1abn,100,2826,female,NA,21,Czech,NA,high school,0,-3,-3,2,not_mobile,PRIMUS_multipic_words02,427.531,513.986,271.085,862.687,623.879,cz_words,university
R_30ob3Rl3gwAAoT6,100,3071,female,NA,24,Czech,NA,university,3,-1,0,1,not_mobile,PRIMUS_multipic_words02,200.717,538.187,168.328,279.886,1409.924,cz_words,university
R_2fxmeNWEgAUyPbj,100,1194,male,NA,24,Czech,NA,university,-1,-2,2,0,not_mobile,PRIMUS_multipic_words02,206.626,217.092,183.194,235.963,239.879,cz_words,university
R_3nvgx7HlVcLc8mc,100,3437,female,NA,23,Czech,NA,university,2,0,-1,-2,mobile,PRIMUS_multipic_words02,433.232,496.922,444.546,373.52,489.737,cz_words,university
R_3g4WSujiJtS2EE0,93,5892,male,NA,21,Czech,NA,high school,-3,0,-1,1,mobile,PRIMUS_multipic_words02,274.494,286.768,339.708,557.197,159.84,cz_words,university
R_3ErKFapJZb0t0gO,93,1448,female,NA,22,Czech,NA,high school,2,-2,0,-2,not_mobile,PRIMUS_multipic_words02,309.166,225.684,204.702,224.892,210.497,cz_words,university
R_erPqilRytVVhKYp,100,1413,female,NA,19,Czech,NA,high school,2,-1,2,-1,not_mobile,PRIMUS_multipic_words02,204.201,215.256,226.832,267.258,337.151,cz_words,university
R_3D5EMW6uqlqyCYr,100,1281,female,NA,19,Czech,NA,high school,2,-2,0,0,not_mobile,PRIMUS_multipic_words02,230.89,208.832,115.421,201.18,350.978,cz_words,university
R_2qdDUY7mhvHA2dO,100,1642,female,NA,23,Czech,NA,high school,2,-1,2,1,not_mobile,PRIMUS_multipic_words02,205.462,362.038,155.675,231.521,586.43,cz_words,university
R_6JQMKKBVSgz2fh7,100,3218,female,NA,21,Czech,NA,high school,2,-2,1,1,mobile,PRIMUS_multipic_words02,450.101,427.349,518.789,562.953,695.37,cz_words,university
R_3ekltgE4ZrkBIfn,100,1291,female,NA,22,Czech,NA,high school,3,0,-1,1,not_mobile,PRIMUS_multipic_words02,217.001,274.785,228.672,258.86,245.943,cz_words,university
R_XTGWG3UdDAA4UnL,100,4694,female,NA,25,Czech,NA,university,0,-3,2,0,mobile,PRIMUS_multipic_words02,927.9,721.008,1640.04,411.489,365.032,cz_words,university
R_20MeNYcDgDfxN5N,100,1039,female,NA,21,Czech,NA,high school,0,-3,1,1,not_mobile,PRIMUS_multipic_words02,214.249,198.889,185.302,176.25,198.353,cz_words,university
R_2BbWCWa4brdKlfu,100,14890,female,NA,22,Czech,NA,university,2,-2,-1,1,mobile,PRIMUS_multipic_words02,819.149,644.986,907.277,924.278,751.705,cz_words,university
R_1oI0P9vBlTd4Jsa,100,1912,male,NA,22,Czech,NA,high school,-1,0,-1,-3,not_mobile,PRIMUS_multipic_words02,660.906,215.928,365.585,163.587,239.243,cz_words,university
R_2SjHzdJBMzajJq7,93,4576,female,NA,23,Czech,NA,university,3,-2,1,-1,mobile,PRIMUS_multipic_words02,1028.555,989.494,688.328,889.454,827.025,cz_words,university
R_2XjSM7FoiX9wQld,100,5392,male,NA,19,Czech,NA,high school,-1,-1,0,1,not_mobile,PRIMUS_multipic_words02,523.892,1098.956,180.902,628.513,1980.85,cz_words,university
R_2w49m4JZfEM1lz8,100,1821,female,NA,22,Czech,NA,high school,2,1,-1,1,not_mobile,PRIMUS_multipic_words02,268.251,309.246,396.204,256.353,474.716,cz_words,university
R_1d79IhFSMfIkBDY,100,4912,female,NA,20,Czech,NA,high school,3,1,-1,-2,not_mobile,PRIMUS_multipic_words02,230.507,2934.209,204.139,236.961,402.23,cz_words,university
R_1oe7MZDiqyucfZP,100,2193,female,NA,21,Czech,NA,high school,1,-2,-1,1,not_mobile,PRIMUS_multipic_words02,224.234,293.93,234.34,205.117,288.767,cz_words,university
R_3NJTqZ1t9QktvQV,100,1516,female,NA,21,Czech,NA,high school,2,-1,1,2,not_mobile,PRIMUS_multipic_words02,196.248,543.306,157.822,198.676,250.917,cz_words,university
R_10O9FV0cyyLRLfw,100,172988,female,NA,24,Czech,NA,high school,3,-1,3,1,not_mobile,PRIMUS_multipic_words02,228.117,271.969,264.419,295.499,431.616,cz_words,university
R_1dtu15HLdugaoWb,100,1889,female,NA,26,Czech,NA,high school,1,-3,2,2,not_mobile,PRIMUS_multipic_words02,162.54,184.212,159.002,176.031,1167.363,cz_words,university
R_2VswJHBoLeU5vOK,100,3084,female,NA,24,Czech,NA,high school,3,-1,2,-1,not_mobile,PRIMUS_multipic_words02,441.227,351.347,610.018,427.844,682.59,cz_words,university
R_O8ZihcnK5piK9r3,100,4741,female,NA,28,Czech,NA,university,1,0,-1,3,not_mobile,PRIMUS_multipic_words02,612.01,774.527,1321.917,924.94,899.73,cz_words,university
R_ZgDxhZYPS8hESEF,100,2356,female,NA,23,Czech,NA,high school,1,-1,2,1,not_mobile,PRIMUS_multipic_words02,226.932,326.148,804.044,245.387,562.607,cz_words,university
R_295fNuDqBr9PqPO,100,1228,female,NA,21,Czech,NA,high school,2,0,-1,1,not_mobile,PRIMUS_multipic_words02,231.437,214.49,187.037,254.533,239.846,cz_words,university
R_1mftDrJE2ReaC3a,100,1527,female,NA,25,Czech,NA,university,1,0,1,-2,not_mobile,PRIMUS_multipic_words02,274.336,218.417,237.332,228.889,359.412,cz_words,university
R_2TBPB1Q62tCq0x3,100,8638,female,NA,20,Czech,NA,high school,1,-1,0,2,mobile,PRIMUS_multipic_words02,768.416,1274.747,802.239,484.734,305.627,cz_words,university
R_1mn4n8y7OyHjaDg,100,1891,female,NA,21,Czech,NA,high school,3,0,1,1,mobile,PRIMUS_multipic_words02,320.364,265.08,327.027,333.478,555.561,cz_words,university
R_wTP3spZ3sYc7ZJv,100,1451,male,NA,23,Czech,NA,university,0,-1,1,2,not_mobile,PRIMUS_multipic_words02,217.201,241.711,222.906,247.045,331.981,cz_words,university
R_1lsJ8QdTZ1l9IgF,100,3085,female,NA,26,Czech,NA,university,1,-3,-1,0,mobile,PRIMUS_multipic_words03,252.403,289.457,219.643,294.55,355.7,cz_words,university
R_3em3axCv18FzqjD,100,2681,female,NA,25,Czech,NA,university,2,-3,2,-1,not_mobile,PRIMUS_multipic_words03,430.743,302.696,492.5,348.242,695.07,cz_words,university
R_Y4wn7OkqDshB6tX,100,4280,female,NA,21,Czech,NA,university,2,-2,0,2,mobile,PRIMUS_multipic_words03,480.077,474.104,611.907,439.542,941.455,cz_words,university
R_23ZYlvM5jwHQWNx,100,1364,female,NA,27,Czech,NA,university,3,0,-1,0,not_mobile,PRIMUS_multipic_words03,253.583,203.534,310.37,221.4,254.085,cz_words,university
R_3HOALW50ZKMCLvB,100,2440,female,NA,21,Czech,NA,high school,2,0,-2,1,mobile,PRIMUS_multipic_words03,495.213,423.173,486.557,352.194,158.475,cz_words,university
R_4GWkejHTfp24wbT,100,1456,female,NA,23,Czech,NA,high school,3,-2,0,-2,not_mobile,PRIMUS_multipic_words03,194.439,307.255,124.83,176.836,599.047,cz_words,university
R_z8SxWuRJboFsCJj,100,1844,female,NA,21,Czech,NA,high school,2,-1,0,1,mobile,PRIMUS_multipic_words03,382.42,312.851,371.093,314.063,361.018,cz_words,university
R_3HBVNaUtNNfkiXV,100,1422,female,NA,22,Czech,NA,high school,2,-1,-1,-1,not_mobile,PRIMUS_multipic_words03,192.2,223.079,210.356,247.697,371.303,cz_words,university
R_xyzwryPB7BXsxTX,100,1477,female,NA,21,Czech,NA,high school,1,0,1,3,not_mobile,PRIMUS_multipic_words03,376.406,257.433,269.249,249.991,230.82,cz_words,university
R_1PXAQxrdF9Cpjsc,100,2563,female,NA,21,Czech,NA,high school,3,-2,-1,3,not_mobile,PRIMUS_multipic_words03,351.987,287.703,533.611,242.458,501.341,cz_words,university
R_3KW40DpdidMs03L,100,16805,male,NA,19,Czech,NA,high school,-2,2,1,2,not_mobile,PRIMUS_multipic_words03,317.417,489.92,327.852,494.799,554.812,cz_words,university
R_1MTgdsnI5DiJD9Q,100,4678,female,NA,21,Czech,NA,high school,2,1,-1,2,not_mobile,PRIMUS_multipic_words03,385.396,712.797,532.751,838.217,1607.308,cz_words,university
R_4Zq2OwI8jjam7NT,100,1197,female,NA,21,Czech,NA,high school,2,-1,1,-2,mobile,PRIMUS_multipic_words03,289.189,270.986,227.608,260.68,24.87,cz_words,university
R_3rV3GZrBEeduTJw,100,2502,female,NA,22,Czech,NA,high school,1,-2,2,0,mobile,PRIMUS_multipic_words03,370.336,278.756,334.1,396.723,347.673,cz_words,university
R_cChZrsoxzeSAUN3,100,6367,female,NA,20,Czech,NA,high school,1,-2,2,-3,mobile,PRIMUS_multipic_words03,570.04,593.865,431.622,998.417,980.101,cz_words,university
R_1mpUGWPfYnsKQRt,100,897,female,NA,22,Czech,NA,high school,2,0,-1,1,not_mobile,PRIMUS_multipic_words03,113.873,128.542,151.645,127.987,191.124,cz_words,university
R_2tguaPTkQ5r64hx,100,1624,female,NA,21,Czech,NA,high school,2,-1,0,2,not_mobile,PRIMUS_multipic_words03,532.004,186.617,236.884,157.079,177.553,cz_words,university
R_SW7zHgKvxAQ9IQ1,93,1784,female,NA,21,Czech,NA,high school,1,-2,0,-1,not_mobile,PRIMUS_multipic_words03,265.996,285.899,361.951,285.388,407.636,cz_words,university
R_2y1uMZbnYFCioIg,93,1185,female,NA,22,Czech,NA,high school,2,0,-1,-1,not_mobile,PRIMUS_multipic_words03,186.458,238.322,175.14,251.371,173.225,cz_words,university
R_3hsR9kRIk2OnKUy,100,1500,female,NA,19,Czech,NA,high school,1,-1,1,1,not_mobile,PRIMUS_multipic_words03,265.866,172.161,277.084,188.29,388.778,cz_words,university
R_1CqZCJ6K2RoD4dQ,100,2351,female,NA,22,Czech,NA,high school,3,-2,0,1,not_mobile,PRIMUS_multipic_words03,395.076,368.001,298.812,389.887,645.62,cz_words,university
R_XOnvNGEmVQHhS37,100,3090,female,NA,20,Czech,NA,high school,1,0,-1,1,mobile,PRIMUS_multipic_words03,314.112,246.442,431.841,264.042,780.226,cz_words,university
R_rqf5Ylv29UxxL21,100,2545,male,NA,20,Czech,NA,high school,-2,-2,2,3,not_mobile,PRIMUS_multipic_words03,524.463,291.264,482.893,385.191,605.605,cz_words,university
R_1QKEuJgSqLNZggd,100,1074,female,NA,28,Czech,NA,university,1,-2,1,2,not_mobile,PRIMUS_multipic_words03,163.227,146.055,177.634,183.772,278.253,cz_words,university
R_2v6ZrZ5iv9BugQ4,100,2020,female,NA,22,Czech,NA,high school,3,0,1,-2,not_mobile,PRIMUS_multipic_words03,274.08,271.783,471.072,279.837,469.666,cz_words,university
R_3kvz9eeb5TpkwFa,100,1311,female,NA,19,Czech,NA,high school,3,-1,1,1,not_mobile,PRIMUS_multipic_words03,184.952,204.594,185.549,267.132,319.301,cz_words,university
R_2R49EZrvZay9iGN,100,1515,female,NA,20,Czech,NA,high school,3,-1,1,2,not_mobile,PRIMUS_multipic_words03,217.838,255.434,214.547,216.883,253.092,cz_words,university
R_Wxpd1kt5JPNqGtP,100,2611,female,NA,21,Czech,NA,high school,2,-2,1,1,not_mobile,PRIMUS_multipic_words03,284.56,1298.143,134.725,302.974,392.254,cz_words,university
R_2QYgPWWgojH8PNa,100,1822,female,NA,24,Czech,NA,university,2,-1,-1,-1,not_mobile,PRIMUS_multipic_words03,298.386,294.571,308.049,323.309,402.895,cz_words,university
R_3s4GMDHzBRyfvF5,100,1571,female,NA,25,Czech,NA,high school,2,-1,1,-2,mobile,PRIMUS_multipic_words03,246.11,216.594,191.929,233.191,427.239,cz_words,university
R_3HIa0hhQZ9fXaCU,100,1900,female,NA,21,Czech,NA,university,2,0,2,-1,not_mobile,PRIMUS_multipic_words03,285.298,269.836,405.43,243.262,400.131,cz_words,university
R_277lyerOu0ZdLou,100,2373,female,NA,22,Czech,NA,high school,2,-1,2,0,not_mobile,PRIMUS_multipic_words03,260.172,269.464,152.266,251.368,793.62,cz_words,university
R_5Bmz82VgoFCatxv,100,1166,male,NA,20,Czech,NA,high school,-2,-2,1,3,not_mobile,PRIMUS_multipic_words03,277.22,150.938,138.674,167.589,217.193,cz_words,university
R_1jBdUKY4IEx90wi,100,3203,female,NA,22,Czech,NA,high school,3,1,1,-1,mobile,PRIMUS_multipic_words03,370.152,379.368,447.829,1122.236,179.672,cz_words,university
R_2c5Uw4YfvuyvWdC,100,2151,male,NA,22,Czech,NA,high school,-2,-1,0,1,mobile,PRIMUS_multipic_words03,284.41,394.185,307.214,286.937,619.982,cz_words,university
R_2OTrUl82JBzBSn4,100,5320,male,NA,20,Czech,NA,high school,-1,1,1,2,not_mobile,PRIMUS_multipic_words03,310.077,349.623,1090.145,357.185,1770.963,cz_words,university
R_2wzdSDaipnJ3U6K,100,1521,female,NA,25,Czech,NA,university,2,-2,1,2,not_mobile,PRIMUS_multipic_words03,350.989,307.041,171.818,217.056,314.587,cz_words,university
R_31si7nxjT9P6hx7,100,1513,female,NA,23,Czech,NA,university,3,-1,-1,-1,not_mobile,PRIMUS_multipic_words03,251.924,255.59,253.42,271.021,327.62,cz_words,university
R_11XUM1Y1y6xobgn,100,15862,male,NA,26,Czech,NA,university,-3,-1,0,1,not_mobile,PRIMUS_multipic_words03,289.112,480.95,274.594,257.043,445.768,cz_words,university
R_W9CPSlm8QyWzRmh,100,1304,female,NA,21,Czech,NA,high school,2,0,1,0,mobile,PRIMUS_multipic_words04,285.247,237.291,285.253,240.556,78.49,cz_words,university
R_1gBjIMBuoUi37Wo,100,1257,female,NA,24,Czech,NA,university,3,0,1,-2,not_mobile,PRIMUS_multipic_words04,213.289,202.76,246.911,226.43,239.962,cz_words,university
R_5haBBUFXb9DEBLX,100,1882,female,NA,20,Czech,NA,high school,1,-1,2,-3,mobile,PRIMUS_multipic_words04,234.999,359.185,210.707,284.433,441.012,cz_words,university
R_3NKH6SorB5IygBN,100,2431,male,NA,22,Czech,NA,high school,-3,1,1,0,not_mobile,PRIMUS_multipic_words04,569.184,532.134,281.953,484.882,400.524,cz_words,university
R_1r1uIVMuK4CngcB,100,2964,female,NA,22,Czech,NA,university,3,0,2,1,mobile,PRIMUS_multipic_words04,228.799,422.027,709.729,778.997,592.315,cz_words,university
R_2bOCvucNA4zgfyE,100,2090,female,NA,22,Czech,NA,high school,2,0,1,1,not_mobile,PRIMUS_multipic_words04,306.689,315.478,344.833,384.843,553.661,cz_words,university
R_Qm06JtH6OdNjN5L,100,2138,female,NA,21,Czech,NA,high school,0,-2,-1,2,not_mobile,PRIMUS_multipic_words04,455.718,194.871,287.105,188.508,898.898,cz_words,university
R_3JI56YId4wLMBK3,100,1416,female,NA,22,Czech,NA,high school,1,-2,2,2,mobile,PRIMUS_multipic_words04,229.691,297.628,245.201,240.228,282.038,cz_words,university
R_C3pzuUE7iuS9E6l,100,2696,female,NA,23,Czech,NA,university,2,-1,1,2,mobile,PRIMUS_multipic_words04,423.191,550.958,597.621,478.301,397.047,cz_words,university
R_3koYLPcg0qOTiVz,100,2667,female,NA,23,Czech,NA,university,3,2,-1,1,not_mobile,PRIMUS_multipic_words04,385.324,365.931,510.985,567.098,597.553,cz_words,university
R_2YXThqW9MljIatn,100,1205,female,NA,22,Czech,NA,high school,3,0,0,-1,not_mobile,PRIMUS_multipic_words04,230.028,198.789,196.326,187.236,282.992,cz_words,university
R_2tncaRceTZRmUxd,100,5562,male,NA,21,Czech,NA,high school,-1,-2,1,-2,not_mobile,PRIMUS_multipic_words04,251.543,280.218,352.958,300.568,578.134,cz_words,university
R_2arzlv95TURO5aq,100,1274,female,NA,22,Czech,NA,high school,3,0,2,-3,not_mobile,PRIMUS_multipic_words04,190.911,247.408,162.171,241.682,219.653,cz_words,university
R_1GxC956pJmuCDAq,100,3132,female,NA,20,Czech,NA,high school,2,0,-1,0,not_mobile,PRIMUS_multipic_words04,380.278,373.815,347.9,406.02,537.013,cz_words,university
R_2fwVBWdkOWoChoM,100,2118,female,NA,21,Czech,NA,high school,3,0,1,0,mobile,PRIMUS_multipic_words04,257.024,262.031,614.746,331.119,336.519,cz_words,university
R_3qPTjUphZBpYSrC,100,1565,male,NA,20,Czech,NA,high school,-2,-1,2,2,not_mobile,PRIMUS_multipic_words04,240.44,196.943,368.61,207.28,344.673,cz_words,university
R_sO3PT4vqGhe71qF,100,1206,female,NA,20,Czech,NA,high school,3,-3,1,3,mobile,PRIMUS_multipic_words04,198.183,222.448,184.855,197.915,351.827,cz_words,university
R_1mF473k4fvEZ3Pv,100,1683,male,NA,20,Czech,NA,high school,-2,-2,1,3,not_mobile,PRIMUS_multipic_words04,281.58,248,329.083,264.101,429.65,cz_words,university
R_215K6I6lIOOSgoB,100,2910,female,NA,24,Czech,NA,high school,3,1,-1,-1,not_mobile,PRIMUS_multipic_words04,220.468,228.902,275.792,254.895,546.651,cz_words,university
R_2YyM3lBgEWQ64ks,93,1663,female,NA,23,Czech,NA,high school,2,0,-2,2,not_mobile,PRIMUS_multipic_words04,258.213,237.505,222.455,220.93,373.206,cz_words,university
R_79SgZQR4PeYIpnH,100,1485,female,NA,21,Czech,NA,high school,2,-1,2,1,not_mobile,PRIMUS_multipic_words04,247.01,242.481,303.737,289.288,287.512,cz_words,university
R_PS7BvokIZzyZ4CB,100,2963,female,NA,19,Czech,NA,high school,2,-1,1,1,not_mobile,PRIMUS_multipic_words04,326.301,628.778,524.617,430.49,317.514,cz_words,university
R_1HhRxiIwH1KEK9X,100,3812,female,NA,22,Czech,NA,high school,1,0,-1,-1,not_mobile,PRIMUS_multipic_words04,584.152,660.139,635.149,626.003,983.465,cz_words,university
R_300r0HxMtiLls9M,100,11872,female,NA,20,Czech,NA,high school,2,-1,1,2,not_mobile,PRIMUS_multipic_words04,247.49,270.889,333.035,254.275,476.896,cz_words,university
